ID,mass,type,site,element_Rb,element_Sr,element_Y,element_Zr
297080ag,0.052,Flakes,Chagha Sefid,246,49,31,328
297080x,0.554,Flakes,Chagha Sefid,247,46,29,333
297082a,0.211,Blade,Chagha Sefid,262,52,31,348
297084a,1.008,Blades,Chagha Sefid,236,45,29,332
297086d,0.719,Blades,Chagha Sefid,237,45,28,336
297086e,0.43,Blades,Chagha Sefid,237,45,29,329
297088a,1.375,Retouched blades,Chagha Sefid,230,43,28,326
297089b,0.525,Blades,Chagha Sefid,239,46,30,332
297089c,0.798,Blades,Chagha Sefid,230,44,29,329
297089e,0.728,Blades,Chagha Sefid,231,43,29,327
297089g,0.285,Blades,Chagha Sefid,241,45,29,331
297089h,0.99,Blades,Chagha Sefid,225,43,27,317
297091c,1.351,Retouched Blades,Chagha Sefid,231,45,30,330
297092b,0.368,Blades,Chagha Sefid,254,50,31,339
297092c,0.217,Blades,Chagha Sefid,265,52,31,345
297092d,0.37,Blades,Chagha Sefid,244,47,30,333
297097a,0.489,Flakes,Chagha Sefid,229,46,28,328
297097b,0.191,Flakes,Chagha Sefid,240,45,29,329
297099a,1.838,Retouched Blade,Chagha Sefid,230,44,29,330
297103a,0.314,Blade,Chagha Sefid,237,47,30,329
297108d,0.866,Flakes,Chagha Sefid,238,45,29,337
297109a,1.624,Core/Fragment,Chagha Sefid,225,42,27,327
297110b,0.469,Blades,Chagha Sefid,215,10,23,65
