ID,mass,type,site,element_Rb,element_Sr,element_Y,element_Zr
297017g,0.605,Blade,Chagha Sefid,224,43,28,318
297017h,0.612,Blade,Chagha Sefid,235,45,30,328
297017i,0.234,Blade,Chagha Sefid,229,44,27,317
297017j,0.438,Blade,Chagha Sefid,256,51,31,343
297017k,0.368,Blade,Chagha Sefid,244,47,30,335
297017L,0.39,Blade,Chagha Sefid,233,46,28,325
297017m,0.203,Blade,Chagha Sefid,230,50,30,326
297017o,0.354,Blade,Chagha Sefid,241,47,29,326
297017p,0.37,Blade,Chagha Sefid,228,43,27,323
297017q,0.179,Blade,Chagha Sefid,263,54,31,339
297017r,0.169,Blade,Chagha Sefid,255,51,30,345
297017s,0.522,Blade,Chagha Sefid,252,50,30,339
297017t,0.14,Blade,Chagha Sefid,244,48,32,336
297019a,0.736,Flake,Chagha Sefid,240,45,28,337
297019c,2.178,Flake,Chagha Sefid,211,41,26,310
297019d,1.466,Flake,Chagha Sefid,234,44,27,331
297019e,1.201,Flake,Chagha Sefid,233,45,28,328
297019i,1.422,Flake,Chagha Sefid,216,41,27,314
297019j,1.118,Flake,Chagha Sefid,230,44,28,327
297019k,0.651,Flake,Chagha Sefid,235,46,29,331
297019L,0.615,Flake,Chagha Sefid,226,44,30,314
297019m,0.554,Flake,Chagha Sefid,234,44,27,324
297019o,0.214,Flake,Chagha Sefid,238,46,30,324
297019p,0.328,Flake,Chagha Sefid,232,44,27,328
297019q,0.25,Flake,Chagha Sefid,241,45,29,331
297019r,0.227,Flake,Chagha Sefid,243,49,30,332
297020a,0.882,Cores and frags,Chagha Sefid,232,51,28,327
297020b,0.256,Cores and frags,Chagha Sefid,243,45,28,339
297021a,1.831,Blade,Chagha Sefid,235,46,28,329
297021b,1.335,Blade,Chagha Sefid,231,44,29,324
297021c,1.09,Blade,Chagha Sefid,230,44,27,325
297021d,1.226,Blade,Chagha Sefid,234,45,27,326
297021e,0.677,Blade,Chagha Sefid,243,47,29,335
297021f,1.071,Blade,Chagha Sefid,229,42,27,330
297021g,0.61,Blade,Chagha Sefid,239,46,29,330
297021h,0.592,Blade,Chagha Sefid,239,46,29,342
297021i,1.506,Blade (Flake?),Chagha Sefid,231,44,28,332
297021j,0.491,Blade,Chagha Sefid,234,45,29,329
297021k,1.131,Blade,Chagha Sefid,224,42,27,322
297021L,0.778,Blade,Chagha Sefid,232,45,28,326
297021m,1.152,Blade,Chagha Sefid,232,44,28,327
297021n,0.788,Blade,Chagha Sefid,232,45,28,321
297021o,1.849,Blade,Chagha Sefid,230,43,27,321
297021p,1.705,Blade,Chagha Sefid,229,43,29,327
297021q,0.523,Blade,Chagha Sefid,237,44,28,333
297021r,0.865,Blade,Chagha Sefid,227,44,27,319
297021s,0.272,Blade (Flake?),Chagha Sefid,241,45,29,327
297022a,0.95,Blade,Chagha Sefid,235,46,30,336
297022d,0.809,Blade,Chagha Sefid,223,45,28,324
297023ae,0.08,Blade,Chagha Sefid,270,55,31,344
297023e,0.476,Blade,Chagha Sefid,241,48,30,339
297024a,0.842,Blade,Chagha Sefid,241,46,29,333
297024aa,0.548,Blade,Chagha Sefid,227,43,28,315
297024ab,0.452,Blade,Chagha Sefid,255,51,31,333
297024ac,0.577,Blade,Chagha Sefid,232,44,28,327
297024ad,0.888,Blade,Chagha Sefid,225,43,26,322
297024ae,0.454,Blade,Chagha Sefid,258,49,30,341
297024af,0.279,Blade,Chagha Sefid,248,51,30,339
297024ag,0.333,Blade,Chagha Sefid,235,44,30,323
297024ah,0.669,Blade,Chagha Sefid,219,41,28,314
297024ai,0.214,Blade,Chagha Sefid,260,52,31,345
